"duree_minutes","emission_co2_kg","heure_decimale","is_nuit","is_transfrontalier","code_pays_dep","code_pays_arr"
"106","5.3","18.9","0","0.0","FR","FR"
"111","5.55","6.5","0","0.0","FR","FR"
"105","5.25","12.366666666666667","0","0.0","FR","FR"
